  uniq   occur  word             strings
--------------------------------------------------------------------------------
    22      73  caribbean        {' caribbean ', ' caribbean.', '/caribbean!', '.caribbean.', '/caribbean ', '-caribbean ', '_caribbean_'}
    20      29  diy              {'_diy_3201.', '/diy 25 ', '_diy-8818/'}
    16   12551  siterip          {'.siterip.', ' siterip '}
    11     318  jul              {'_jul_11_', '_jul_25_', '_jul_13_', '[jul 1979]', '_jul_22_', '_jul_18_', '_19jul00_', ' jul 2020]', '[jul 1978]', '[jul 2006]', '[jul 2008]', '[jul 2007]'}
     8    2272  hunt             {' hunt 2011 ', ' hunt 2005 ', ' hunt 2020 '}
     8     155  red              {' red 2014 ', ' red 03]', ' red 04]', ' red 1984 ', ' red 05]', ' red 01]', ' red 06]', ' red 1965 ', ' red 07]', ' red 02]', ' red 1993 '}
     8      23  amd              {'_amd64.', '-amd64.'}
     7     335  sea              {' sea 2016 ', ' sea 2010 ', ' sea 2018 ', ' sea 2008 ', ' sea 2013 ', ' sea 1995 ', '_sea_2009_', ' sea 2011 '}
     7      50  club             {' club 2016 ', ' club 1984 ', ' club 2017/', ' club 97 ', ' club 2002 '}
     7      15  asia             {'.asia-11.', '.asia-27.', ' asia 2017.', ' asia 0101 ', '.asia-04.', ' asia 2015 ', ' asia 2012 ', ' asia 2050 ', ' asia 2016 ', '.asia-13.', '.asia-06.'}
     6     172  and              {' and 12.', '_and_77-', ' and 1984 ', ' and 77-', ' and 22015 ', '-and-10-', ' and 19.', ' and 100%', ' and 2012 ', ' and 44 ', ' and 220-', ' and 61.', ' and 2018 ', ' and 2004 ', ' and 1929)', '_and_11_', ' and 10-', ' and 400 '}
     5     127  nov              {'-nov-2017.', '[nov 1979]', '_nov_28_', '-nov-26-', '[nov 2007]', '[nov 2015]', '_nov_27_', '[nov 2006]', '_nov_23_', '[nov 2011]', '[nov 2013]', '[nov 2010]', '_nov_29_', '_23nov2004/', '_nov_21_', '_nov_14_', '[nov 1978]', '[nov 2009]', '[nov 2014]', '[nov 2016]', '[nov 2008]', '[nov 2012]'}
