Potential ID Prefixes:

  uniq   occur  word             strings
--------------------------------------------------------------------------------
   271     305  dv               {'dv1329', 'dv1399', 'dv1432', 'dv-1418', 'dv-1249', 'dv1380', 'dv-938', 'dv-1378', 'dv1224', 'dv-1484', 'dv-1497', 'dv-1417', 'dv-1536', 'dv1575', 'dv-1192', 'dv-1664', 'dv-1574', 'dv-426', 'dv-1367', 'dv1251', 'dv1317', 'dv1435', 'dv-1656', 'dv1541', 'dv1417', 'dv-1463', 'dv-1237', 'dv-1233', 'dv1294', 'dv-1456', 'dv-1498', 'dv-1199', 'dv1296', 'dv-367', 'dv-576', 'dv-1644', 'dv1602', 'dv1473', 'dv-640', 'dv-1491', 'dv-506', 'dv-1184', 'dv-1598', 'dv-1464', '53dv01341', 'dv-1662', 'dv-1493', 'dv1110', 'dv1649', '53dv01283', 'dv-1661', 'dv-959', 'dv-1559', 'dv-1224', 'dv-1581', 'dv-1599', 'dv1552', 'dv-1327', 'dv-1634', 'dv-1445', 'dv1349', 'dv-1318', 'dv-1175', 'dv-1604', 'dv-1676', 'dv1314', 'dv1360', 'dv1195', 'dv983', 'dv-1239', 'dv-1343', 'dv1295', 'dv-1488', 'dv002', 'dv-1426', 'dv-946', 'dv-444', 'dv-1002', 'dv1549', 'dv-492', 'dv-1613', 'dv-1408', 'dv1272', 'dv1551', 'dv-1346', 'dv-1156', 'dv-1507', 'dv-1503', 'dv-1409', 'dv-1561', 'dv-1569', 'dv1233', 'dv-730', 'dv-885', 'dv-1183', 'dv-1612', 'dv-1353', 'dv003', 'dv-1692', 'dv-587', 'dv-1304', 'dv-382', 'dv-1387', 'dv-1358', 'dv1640', 'dv1456', 'dv-1158', 'dv-1241', 'dv-1510', 'dv-1035', 'dv-1588', 'dv1282', 'dv1318', 'dv1231', 'dv-1638', 'dv-1396', 'dv-1502', 'dv-1523', 'dv-1625', 'dv_1259', 'dv-1315', 'dv1665', 'dv-1500', 'dv-1437', 'dv-1019', 'dv-1663', 'dv-1267', 'dv-1522', 'dv-1294', 'dv-1541', 'dv-1211', 'dv-1326', 'dv-1583', 'dv1656', 'dv1215', 'dv-888', 'dv-29', 'dv-1338', 'dv1532', 'dv1259', 'dv1261', 'dv1239', 'dv1225', 'dv-1314', 'dv-1673', 'dv-1208', 'dv005', 'dv1122', 'dv_1283', 'dv-1265', '53dv01270', 'dv-1538', 'dv-1357', 'dv-1007', 'dv-1633', 'dv-1556', 'dv-1377', 'dv1498', 'dv-1668', 'dv1304', 'dv1367', 'dv-1452', 'dv1613', 'dv1328', 'dv-1340', 'dv1205', '53dv01249', '53dv01096', 'dv-1094', 'dv-1528', 'dv-1222', 'dv-1413', 'dv-1067', 'dv-431', 'dv-1189', 'dv-1312', 'dv-1329', 'dv1270', 'dv-1181', 'dv006', 'dv-1539', '53dv01306', 'dv-1213', 'dv-1202', 'dv-1261', 'dv-1530', 'dv004', 'dv1560', 'dv-1504', 'dv-1195', 'dv-1466', 'dv-541', 'dv-1204', 'dv-1229', 'dv1682', 'dv-1303', 'dv1036', 'dv-536', 'dv-874', 'dv-1325', 'dv-927', 'dv-1388', 'dv-1048', 'dv_1296', 'dv1617', 'dv-1196', 'dv-1059', 'dv-1514', 'dv-1220', 'dv-1531', 'dv-1547', 'dv-1279', 'dv-1428', 'dv1491', 'dv-1424', 'dv-996', 'dv-1384', 'dv-1478', 'dv-1194', 'dv1306', 'dv-1551', 'dv1141', 'dv-1489', 'dv1641', 'dv1214', 'dv1660', 'dv-1508', 'dv-916', 'dv1632', 'dv-1448', 'dv-1337', 'dv-1480', '53dv01498', '53dv01319', 'dv1520', 'dv-1435', 'dv1326', 'dv-1069', 'dv-1657', 'dv-1615', 'dv1307', 'dv-1262', 'dv-1567', 'dv1593', 'dv-1648', 'dv1558', 'dv-1527', '53dv01239', 'dv-947', 'dv-467', 'dv1633', 'dv1241', 'dv-1620', 'dv-1468', 'dv-553', 'dv-1682', 'dv-748', 'dv1478', 'dv1340', 'dv-1349', 'dv-1451', 'dv1265', 'dv-1521', 'dv1281', 'dv1357', 'dv1690', '53dv01317', '53dv01328', 'dv-1635', 'dv1252', 'dv-1537', 'dv-1268', 'dv1387', 'dv1377', 'dv-1157', 'dv1673', 'dv-1281', 'dv-1535', 'dv1249', 'dv-1459', 'dv-1246', 'dv-1009', 'dv-1397', '53dv01296', '53dv01140', 'dv903', 'dv-1453', 'dv-1215', 'dv-1212', 'dv-1496', 'dv-1272', 'dv-1649', 'dv-1558', 'dv-1666', 'dv1283', 'dv 1673', 'dv-1477', 'dv1273', 'dv-1622', 'dv-1254', 'dv1594', '53dv01259', 'dv-1251', 'dv1571', 'dv-1292'}
   218     225  bf               {'bf494', 'bf-460', 'bf-038', 'bf-607', 'bf-155', 'bf-042', 'bf-188', 'bf-167', 'bf-043', 'bf-474', 'bf-500', 'bf-145', 'bf-270', 'bf-602', 'bf-596', 'bf-093', 'bf-179', 'bf-183', 'bf-530', 'bf-158', 'bf-181', 'bf-615', 'bf-479', 'bf00343', 'bf-598', 'bf512', 'bf-591', 'bf-268', 'bf-298', 'bf-540', 'bf-560', 'bf-175', 'bf-185', 'bf-461', 'bf-563', 'bf504', 'bf-516', 'bf-451', 'bf-176', 'bf-535', 'bf-506', 'bf-222', 'bf-567', 'bf-210', 'bf-076', 'bf-052', 'bf-278', 'bf-192', 'bf-202', 'bf-401', 'bf-061', 'bf-599', 'bf-521', 'bf-281', 'bf-065', 'bf-543', 'bf-593', 'bf-161', 'bf251', 'bf-570', 'bf-130', 'bf-542', 'bf-536', 'bf-575', 'bf-091', 'bf-139', 'bf-149', 'bf-245', 'bf-528', 'bf-612', 'bf-071', 'bf-549', 'bf-166', 'bf-524', 'bf-062', 'bf236', 'bf-583', 'bf-517', 'bf122', 'bf-064', 'bf-070', 'bf00127', 'bf00124', 'bf-136', 'bf-230', 'bf-288', 'bf413', 'bf-597', 'bf-069', 'bf-595', 'bf-073', 'bf-606', 'bf-066', 'bf-557', 'bf-092', 'bf-207', 'bf522', 'bf461', 'bf-478', 'bf513', 'bf-613', 'bf-108', 'bf-289', '9bf23186', 'bf-525', 'bf-499', 'bf-221', 'bf-585', 'bf340', 'bf-358', 'bf-225', 'bf-286', 'bf-189', 'bf-361', 'bf-075', 'bf287', 'bf-127', 'bf-605', 'bf-494', 'bf-040', 'bf-619', 'bf-141', 'bf-579', 'bf527', 'bf-114', 'bf-085', 'bf-456', 'bf-095', 'bf-039', 'bf-246', 'bf-100', 'bf-616', 'bf-022', 'bf-260', 'bf-227', 'bf-562', 'bf-060', 'bf438', 'bf-088', 'bf-455', 'bf00439', 'bf-305', 'bf-564', 'bf-529', 'bf-272', 'bf-266', 'bf-047', 'bf-537', 'bf154', 'bf-522', 'bf-547', 'bf-201', 'bf-432', 'bf-576', 'bf-578', 'bf-513', 'bf-566', 'bf-335', 'bf-099', 'bf-205', 'bf503', 'bf-074', 'bf-527', 'bf-151', 'bf526', 'bf-507', 'bf-086', 'bf462', 'bf506', 'bf-449', 'bf-103', 'bf-048', 'bf-587', 'bf-552', 'bf-395', 'bf-420', 'bf-184', 'bf-049', 'bf-301', 'bf-526', 'bf225', 'bf-079', 'bf-254', 'bf-154', 'bf-077', 'bf-090', 'bf-287', 'bf-046', 'bf-439', 'bf-531', 'bf-421', 'bf-059', 'bf-342', 'bf-263', 'bf-541', 'bf-503', 'bf-096', 'bf-097', 'bf-594', 'bf-144', 'bf-081', 'bf-282', 'bf-033', 'bf-082', 'bf-215', 'bf-497', 'bf-551', 'bf-554', 'bf-600', 'bf-296', 'bf-109', 'bf-473', 'bf-472', 'bf-118', 'bf206', 'bf-336', 'bf-426', 'bf014', 'bf-582', 'bf-232', 'bf-608', 'bf-534', 'bf-573', 'bf-271', 'bf-277'}
   122      83  part             {'part 04', 'part18', 'part09', 'part 03', 'part 14', 'part 12', 'part 18', 'part 05', 'part 41', 'part 46', 'part10', 'part 47', 'part 38', 'part 22', 'part 25', 'part 07', 'part 53', 'part 20', 'part26', 'part04', 'part24', 'part27', 'part 28', 'part08', 'part 34', 'part 23', 'part 09', 'part01', 'part 15', 'part07', 'part12', 'part 51', 'part21', 'part38', 'part 37', 'part05', 'part 43', 'part 24', 'part 21', 'part 06', 'part 36', 'part 35', 'part 33', 'part11', 'part25', 'part 52', 'part 48', 'part 19', 'part 39', 'part17', 'part 40', 'part 54', 'part 26', 'part 13', 'part22', 'part20', 'part 49', 'part06', 'part 11', 'part32', 'part 08', 'part 31', 'part 44', 'part 55', 'part 10', 'part36', 'part02', 'part 02', 'part35', 'part 42', 'part15', 'part 27', 'part16', 'part19', 'part 16', 'part14', 'part33', 'part 30', 'part 50', 'part 29', 'part13', 'part 01', 'part03'}
   101     100  gs               {'gs-263', 'gs-211', 'gs-037', 'gs-296', 'gs-209', 'gs-018', 'gs-141', 'gs-172', 'gs-161', 'gs-266', 'gs-937', 'gs134', 'gs-212', 'gs-041', 'gs-156', 'gs-145', 'gs-262', 'gs-181', 'gs-201', 'gs-323', 'gs-237', 'gs-240', 'gs-176', 'gs-153', 'gs-223', 'gs-196', 'gs-186', 'gs-142', 'gs-192', 'gs-907', 'gs-468', 'gs-182', 'gs-213', 'gs-160', 'gs-139', 'gs-146', 'gs-038', 'gs-1986', 'gs-210', 'gs-135', 'gs-169', 'gs-216', 'gs-239', 'gs-140', 'gs-177', 'gs-231', 'gs-102', 'gs-208', 'gs-152', 'gs-202', 'gs-264', 'gs-227', 'gs-229', 'gs-342', 'gs-233', 'gs-217', 'gs-218', 'gs-183', 'gs-200', 'gs-197', 'gs-203', 'gs-260', 'gs-158', 'gs-326', 'gs-236', 'gs-215', 'gs-1625', 'gs-144', 'gs-222', 'gs-221', 'gs-232', 'gs-316', 'gs-194', 'gs-137', 'gs-138', 'gs-151', 'gs-343', 'gs-225', 'gs-265', 'gs-315', 'gs-204', 'gs-214', 'gs-224', 'gs-267', 'gs-040', 'gs-270', 'gs-205', 'gs-359', 'gs-193', 'gs-261', 'gs-054', 'gs-143', 'gs-198', 'gs-317', 'gs-226', 'gs-199', 'gs-294', 'gs-174', 'gs-228', 'gs-241'}
    65      65  gg               {'gg-016', 'gg-270', 'gg098', 'gg-123', 'gg238', 'gg247', 'gg-266', 'gg-232', 'gg-114', 'gg286', 'gg-145', 'gg-284', 'gg-088', 'gg-128', 'gg-098', 'gg-027', 'gg-079', 'gg-120', 'gg-131', 'gg-187', 'gg-066', 'gg-092', 'gg-230', 'gg-061', 'gg002', 'gg-177', 'gg-017', 'gg-188', 'gg-203', 'gg-106', 'gg-248', 'gg250', 'gg-071', 'gg-103', 'gg-214', 'gg-126', 'gg-228', 'gg-263', 'gg-124', 'gg-118', 'gg-099', 'gg262', 'gg-283', 'gg-062', 'gg-234', 'gg131', 'gg015', 'gg-100', 'gg-154', 'gg-149', 'gg-097', 'gg-240', 'gg-218', 'gg-189', 'gg-101', 'gg-051', 'gg-089', 'gg095', 'gg-110', 'gg-171', 'gg-093', 'gg 01', 'gg-191', 'gg-132', 'gg-115'}
    51      51  my               {'my-274', 'my-350', 'my-353', 'my-347', 'my-277', 'my-279', 'my-291', 'my-346', '292my-309', 'my-292', 'my-309', 'my-303', 'my-278', 'my-287', 'my-352', 'my-285', 'my-294', 'my-348', 'my-354', 'my-283', 'my-312', 'my-310', 'my-305', 'my-288', 'my-311', 'my-178', 'my-306', 'my-281', 'my-273', 'my-297', 'my-293', 'my-298', 'my-275', 'my-282', 'my-286', 'my-295', 'my-345', 'my-284', 'my-296', 'my-179', 'my-276', 'my18', 'my-304', 'my-290', 'my-349', 'my-351', '292my-386', 'my-180', 'my-289', 'my-307', 'my-280'}
    43      42  eq               {'eq-329', 'eq-377', 'eq-373', 'eq-233', 'eq172', 'eq-133', 'eq-410', 'eq-244', 'eq-379', 'eq-357', 'eq-380', 'eq-385', 'eq-371', 'eq-348', 'eq-042', 'eq-096', 'eq-245', 'eq-408', 'eq-384', 'eq-375', 'eq-389', 'eq-131', 'eq-440', 'eq-434', 'eq-372', 'eq-226', 'eq-313', 'eq-390', 'eq-354', 'eq-243', 'eq-234', 'eq-376', 'eq-383', 'eq-238', 'eq-370', 'eq-361', 'eq-386', 'eq-409', 'eq-388', 'eq-085', 'eq-256', 'eq-269'}
    35      75  love             {'love-011', 'love-382', 'love-254', 'love38', 'love-379', 'love-270', 'love-207', 'love-281', 'love-368', 'love-001', 'love-113', 'love-97', 'love-232', 'love-208', 'love-117', 'love281', 'love-403', 'love-394', 'love-92', 'love-279', 'love-369', 'love-106', 'love-358', 'love-359', 'love-348', 'love-56', 'love-115', 'love 1996', 'love-131', 'love-361', 'love-90', 'love-12', 'love-363', 'love-114', 'love-055', 'love-305', 'love-370', 'love-408', 'love-295', 'love-95', 'love-374', 'love-211', 'love-246', 'love-373', 'love-327', 'love03', 'love-107', 'love 2012', '3love-213', 'love-325', 'love-380', 'love-263', 'love-012', 'love-341', 'love-326', 'love-371', 'love-98', 'love-108', 'love-386', 'love-340', 'love-195', 'love-383', 'love-378', 'love-96', 'love-128', 'love-407', 'love-067', 'love-244', 'love-105', 'love-355', 'love-357', 'love-253', 'love-102', 'love-344', 'love-342'}
    32      27  pt               {'pt-129', 'pt-90', 'pt-132', 'pt-154', 'pt-157', 'pt-158', 'pt-186', 'pt-125', 'pt-96', 'pt-115', 'pt-28', 'pt-71', 'pt-46', 'pt-169', 'pt-142', 'pt-85', 'pt-148', 'pt-171', 'pt-119', 'pt-111', 'pt-153', 'pt-160', 'pt-156', 'pt-155', 'pt-114', 'pt-150', 'pt-159'}
